filename,correction / note,framestart,framestop,frameoffset,class,handnum,relocatable?,bodytouch?,handtohandtouch?,mouth,WordNetEntries,SpreadTheSignExample,SignDictExample,fps,videolink_body,videolink_face,annotation_name,Unnamed: 18,Unnamed: 19,value
1,Recorded (2022.09.08),283.0,318.0,,Mal,1.0,no,no,no,<einmal>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fmal&files=1.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fmal%2F_facecam&files=faceCam_1.mp4,mal:1,,,Erste
2,Recorded,131.0,166.0,,Mal,1.0,no,no,no,<zweimal>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fmal&files=2.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fmal%2F_facecam&files=faceCam_2.mp4,mal:2,,,Zweite
3,Recorded,132.0,161.0,,Mal,1.0,no,no,no,<dreimal>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fmal&files=3.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fmal%2F_facecam&files=faceCam_3.mp4,mal:3,,,Dritte
4,Recorded,127.0,166.0,,Mal,1.0,no,no,no,<viermal>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fmal&files=4.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fmal%2F_facecam&files=faceCam_4.mp4,mal:4,,,Vierte
5,"Wiederholen!
Aufgenommen (Feb 2023)",201.0,248.0,,Mal,1.0,no,no,no,<fünfmal>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fmal&files=5.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fmal%2F_facecam&files=faceCam_5.mp4,mal:5,,,Fünfte
6,Recorded,128.0,169.0,,Mal,2.0,no,no,no,<sechsmal>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fmal&files=6.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fmal%2F_facecam&files=faceCam_6.mp4,mal:6,,,Sechste
7,Recorded,126.0,165.0,,Mal,2.0,no,no,no,<siebenmal>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fmal&files=7.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fmal%2F_facecam&files=faceCam_7.mp4,mal:7,,,Siebte
8,Recorded,128.0,165.0,,Mal,2.0,no,no,no,<achtmal>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fmal&files=8.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fmal%2F_facecam&files=faceCam_8.mp4,mal:8,,,Achte
9,Recorded,127.0,165.0,,Mal,2.0,no,no,no,<neunmal>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fmal&files=9.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fmal%2F_facecam&files=faceCam_9.mp4,mal:9,,,Neunte
10,Recorded,130.0,165.0,,Mal,2.0,no,no,no,<zehnmal>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fmal&files=10.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fmal%2F_facecam&files=faceCam_10.mp4,mal:10,,,Zehnte
