filename,correction / note,framestart,framestop,frameoffset,class,handnum,relocatable?,bodytouch?,handtohandtouch?,mouth,WordNetEntries,SpreadTheSignExample,SignDictExample,fps,videolink_body,videolink_face,annotation_name,Unnamed: 18,Unnamed: 19,value
0,Recorded (2023 Feb),223.0,253.0,,Kardinalzahl,1.0,yes,no,no,<null>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fnum&files=0.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fnum%2F_facecam&files=faceCam_0_trimmed.mp4,num:0,,,0.0
1,Recorded Daumen,153.0,185.0,,Kardinalzahl,1.0,yes,no,no,<eins>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fnum&files=1.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fnum%2F_facecam&files=faceCam_1_trimmed.mp4,num:1,,,1.0
2,Recorded Daumen,155.0,188.0,,Kardinalzahl,1.0,yes,no,no,<zwei>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fnum&files=2.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fnum%2F_facecam&files=faceCam_2_trimmed.mp4,num:2,,,2.0
3,Recorded,154.0,188.0,,Kardinalzahl,1.0,yes,no,no,<drei>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fnum&files=3.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fnum%2F_facecam&files=faceCam_3_trimmed.mp4,num:3,,,3.0
4,Recorded,158.0,181.0,,Kardinalzahl,1.0,yes,no,no,<vier>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fnum&files=4.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fnum%2F_facecam&files=faceCam_4_trimmed.mp4,num:4,,,4.0
5,Recorded,165.0,190.0,,Kardinalzahl,1.0,yes,no,no,<fünf>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fnum&files=5.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fnum%2F_facecam&files=faceCam_5_trimmed.mp4,num:5,,,5.0
6,Recorded,151.0,172.0,,Kardinalzahl,2.0,yes,no,no,<sechs>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fnum&files=6.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fnum%2F_facecam&files=faceCam_6_trimmed.mp4,num:6,,,6.0
7,Recorded,142.0,173.0,,Kardinalzahl,2.0,yes,no,no,<sieben>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fnum&files=7.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fnum%2F_facecam&files=faceCam_7_trimmed.mp4,num:7,,,7.0
8,Recorded,147.0,178.0,,Kardinalzahl,2.0,yes,no,no,<acht>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fnum&files=8.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fnum%2F_facecam&files=faceCam_8_trimmed.mp4,num:8,,,8.0
9,Recorded,153.0,182.0,,Kardinalzahl,2.0,yes,no,no,<neun>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fnum&files=9.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fnum%2F_facecam&files=faceCam_9_trimmed.mp4,num:9,,,9.0
10,Recorded,209.0,235.0,,Kardinalzahl,2.0,no,no,no,<zehn>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fnum&files=10.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fnum%2F_facecam&files=faceCam_10_trimmed.mp4,num:10,,,10.0
11,"Recorded
Daumen",131.0,166.0,,Kardinalzahl,1.0,no,no,no,<elf>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fnum&files=11.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fnum%2F_facecam&files=faceCam_11_trimmed.mp4,num:11,,,11.0
12,"Recorded
Daumen",161.0,204.0,,Kardinalzahl,1.0,no,no,no,<zwölf>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fnum&files=12.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fnum%2F_facecam&files=faceCam_12_trimmed.mp4,num:12,,,12.0
13,Recorded,163.0,208.0,,Kardinalzahl,1.0,no,no,no,<dreizehn>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fnum&files=13.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fnum%2F_facecam&files=faceCam_13_trimmed.mp4,num:13,,,13.0
14,Recorded,168.0,219.0,,Kardinalzahl,1.0,no,no,no,<vierzehn>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fnum&files=14.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fnum%2F_facecam&files=faceCam_14_trimmed.mp4,num:14,,,14.0
15,Recorded,177.0,228.0,,Kardinalzahl,1.0,no,no,no,<fünfzehn>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fnum&files=15.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fnum%2F_facecam&files=faceCam_15_trimmed.mp4,num:15,,,15.0
16,Recorded,149.0,196.0,,Kardinalzahl,2.0,no,no,no,<sechszehn>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fnum&files=16.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fnum%2F_facecam&files=faceCam_16_trimmed.mp4,num:16,,,16.0
17,Recorded,171.0,224.0,,Kardinalzahl,2.0,no,no,no,<ziebzehn>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fnum&files=17.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fnum%2F_facecam&files=faceCam_17_trimmed.mp4,num:17,,,17.0
18,Recorded,158.0,209.0,,Kardinalzahl,2.0,no,no,no,<achtzehn>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fnum&files=18.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fnum%2F_facecam&files=faceCam_18_trimmed.mp4,num:18,,,18.0
19,Recorded,157.0,211.0,,Kardinalzahl,2.0,no,no,no,<neunzehn>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fnum&files=19.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fnum%2F_facecam&files=faceCam_19_trimmed.mp4,num:19,,,19.0
20,"Recorded
Daumen",261.0,306.0,,Kardinalzahl,1.0,no,no,no,<zwanzig>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fnum&files=20.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fnum%2F_facecam&files=faceCam_20_trimmed.mp4,num:20,,,20.0
22,"Recorded
Daumen",173.0,208.0,,Kardinalzahl,1.0,no,no,no,<zweizwanzig>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fnum&files=22.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fnum%2F_facecam&files=faceCam_22_trimmed.mp4,num:22,,,22.0
