filename,correction / note,framestart,framestop,frameoffset,class,handnum,relocatable?,bodytouch?,handtohandtouch?,mouth,WordNetEntries,SpreadTheSignExample,SignDictExample,fps,videolink_body,videolink_face,annotation_name
ABSTELLEN,Aufgenommen 29.09.22,247.0,273.0,,,1.0,yes,no,no,gest,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fprod&files=ABSTELLEN.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fprod%2F_facecam&files=faceCam_ABSTELLEN_trimmed.mp4,prod:ABSTELLEN
BAHNSTEIGE,Aufgenommen 29.09.22,202.0,251.0,,,2.0,yes,no,no,gest,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fprod&files=BAHNSTEIGE.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fprod%2F_facecam&files=faceCam_BAHNSTEIGE_trimmed.mp4,prod:BAHNSTEIGE
BEREICH,Aufgenommen 29.09.22,222.0,285.0,,,2.0,yes,no,yes,gest,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fprod&files=BEREICH.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fprod%2F_facecam&files=faceCam_BEREICH_trimmed.mp4,prod:BEREICH
BESCHILDERUNG,Aufgenommen 29.09.22,200.0,216.0,,,2.0,yes,no,no,gest,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fprod&files=BESCHILDERUNG.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fprod%2F_facecam&files=faceCam_BESCHILDERUNG_trimmed.mp4,prod:BESCHILDERUNG
BUSFAHREN,Aufgenommen 21.06.22,210.0,244.0,,,2.0,yes,no,no,gest,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fprod&files=BUSFAHREN.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fprod%2F_facecam&files=faceCam_BUSFAHREN_trimmed.mp4,prod:BUSFAHREN
FALLEN(-baum),Aufgenommen (Sept 2021),246.0,281.0,,Prod,2.0,no,yes?,no?,gest,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fprod&files=FALLEN(-baum).mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fprod%2F_facecam&files=faceCam_FALLEN(-baum)_trimmed.mp4,prod:FALLEN(-baum)
FALLEN(-gestreckter-zeigefinger),Aufgenommen (Sept 2021),217.0,258.0,,Prod,1.0,yes,no,no,gest ,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fprod&files=FALLEN(-gestreckter-zeigefinger).mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fprod%2F_facecam&files=faceCam_FALLEN(-gestreckter-zeigefinger)_trimmed.mp4,prod:FALLEN(-gestreckter-zeigefinger)
REINSTELLEN(-zweirad-plural),Aufgenommen 21.06.22,198.0,252.0,,,2.0,yes,no,no,gest,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fprod&files=REINSTELLEN(-zweirad-plural).mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fprod%2F_facecam&files=faceCam_REINSTELLEN(-zweirad-plural)_trimmed.mp4,prod:REINSTELLEN(-zweirad-plural)
REINSTELLEN(-zweirad),Aufgenommen 21.06.22,208.0,226.0,,,2.0,yes,no,no,gest,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fprod&files=REINSTELLEN(-zweirad).mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fprod%2F_facecam&files=faceCam_REINSTELLEN(-zweirad)_trimmed.mp4,prod:REINSTELLEN(-zweirad)
ZUGTEILUNG,Aufgenommen 21.06.22,200.0,230.0,,,2.0,yes,no,yes,gest,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fprod&files=ZUGTEILUNG.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fprod%2F_facecam&files=faceCam_ZUGTEILUNG_trimmed.mp4,prod:ZUGTEILUNG
ZUGVEREINIGUNG-koppeln,Aufgenommen 21.06.22,228.0,276.0,,,2.0,yes,no,yes,gest,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fprod&files=ZUGVEREINIGUNG-koppeln.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fprod%2F_facecam&files=faceCam_ZUGVEREINIGUNG-koppeln_trimmed.mp4,prod:ZUGVEREINIGUNG-koppeln
