filename,correction / note,framestart,framestop,frameoffset,class,handnum,relocatable?,bodytouch?,handtohandtouch?,mouth,WordNetEntries,SpreadTheSignExample,SignDictExample,fps,videolink_body,videolink_face,annotation_name
AACHEN,"Mit FA ""AA"" gebärden, nicht Stab! Wiederholen",225.0,246.0,,Ort,2.0,no,no,no,<aachen>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns&files=AACHEN.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns%2F_facecam&files=faceCam_AACHEN_trimmed.mp4,AACHEN
AALEN,"Aufgenommen 21.06.22, Gebärde FISCH falsch, richtig wie MEISTER.
Wiederholen (Feb 2023)!!!",252.0,275.0,,Ort,1.0,no,no,no,<aalen>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns&files=AALEN.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns%2F_facecam&files=faceCam_AALEN_trimmed.mp4,AALEN
AB,Aufgenommen am 30.03.22,203.0,213.0,,,1.0,yes,no,no,<ab>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns&files=AB.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns%2F_facecam&files=faceCam_AB_trimmed.mp4,AB
ABER,Aufgenommen (Sept 2021),279.0,300.0,,,1.0,no,no,no,<aber>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns&files=ABER.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns%2F_facecam&files=faceCam_ABER_trimmed.mp4,ABER
ABLAUF,"Aufgenommen (Sept 2021)
Wiederholen (Feb 2023)!!!",224.0,272.0,,,2.0,yes,no,no,<ablauf>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns&files=ABLAUF.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns%2F_facecam&files=faceCam_ABLAUF_trimmed.mp4,ABLAUF
ABSPIELEN,Aufgenommen 21.06.22,215.0,254.0,,,2.0,yes,no,no,gest,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns&files=ABSPIELEN.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns%2F_facecam&files=faceCam_ABSPIELEN_trimmed.mp4,ABSPIELEN
ABTEILUNG,"Aufgenommen 21.06.22
Wiederholen (Feb 2023)!!!",199.0,232.0,,,2.0,yes,no,yes,<abteilung>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns&files=ABTEILUNG.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns%2F_facecam&files=faceCam_ABTEILUNG_trimmed.mp4,ABTEILUNG
AENDERN,Aufgenommen (Dez 2021),271.0,287.0,,,2.0,yes,no,yes,<um>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns&files=AENDERN.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns%2F_facecam&files=faceCam_AENDERN_trimmed.mp4,AENDERN
ALLE,Aufgenommen (Sept 2021),247.0,264.0,,,1.0,no,no,no,<alle>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns&files=ALLE.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns%2F_facecam&files=faceCam_ALLE_trimmed.mp4,ALLE
ALTONA,"Aufgenommen (Dez 2021)
Wiederholen (Feb 2023)!!!",198.0,239.0,,Ort,2.0,no,no,yes,<altona>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns&files=ALTONA.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns%2F_facecam&files=faceCam_ALTONA_trimmed.mp4,ALTONA
AMPEL-GRUEN,Aufgenommen (Sept 2021),213.0,245.0,,,1.0,yes,no,no,gest,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns&files=AMPEL-GRUEN.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns%2F_facecam&files=faceCam_AMPEL-GRUEN_trimmed.mp4,AMPEL-GRUEN
