filename,correction / note,framestart,framestop,frameoffset,class,handnum,relocatable?,bodytouch?,handtohandtouch?,mouth,WordNetEntries,SpreadTheSignExample,SignDictExample,fps,videolink_body,videolink_face,annotation_name,Unnamed: 18,Unnamed: 19,value
0,"Aufgenommen
Wiederholen (Feb 2023)!!!",251.0,291.0,,Uhr,1.0,no,no,no,<null uhr>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fuhr&files=0.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fuhr%2F_facecam&files=faceCam_0_trimmed.mp4,uhr:0,,,0 Uhr
1,"Daumen
Aufgenommen
Wiederholen (Feb 2023)!!!",154.0,196.0,,Uhr,1.0,no,no,no,<ein uhr>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fuhr&files=1.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fuhr%2F_facecam&files=faceCam_1_trimmed.mp4,uhr:1,,,1 Uhr
2,"Daumen
Aufgenommen
Wiederholen (Feb 2023)!!!",167.0,209.0,,Uhr,1.0,no,no,no,<zwei uhr>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fuhr&files=2.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fuhr%2F_facecam&files=faceCam_2_trimmed.mp4,uhr:2,,,2 Uhr
3,"Aufgenommen
Wiederholen (Feb 2023)!!!",154.0,198.0,,Uhr,1.0,no,no,no,<drei uhr>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fuhr&files=3.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fuhr%2F_facecam&files=faceCam_3_trimmed.mp4,uhr:3,,,3 Uhr
4,"Aufgenommen
Wiederholen (Feb 2023)!!!",150.0,194.0,,Uhr,1.0,no,no,no,<vier uhr>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fuhr&files=4.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fuhr%2F_facecam&files=faceCam_4_trimmed.mp4,uhr:4,,,4 Uhr
5,"Aufgenommen
Wiederholen (Feb 2023)!!!",132.0,181.0,,Uhr,1.0,no,no,no,<fünf uhr>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fuhr&files=5.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fuhr%2F_facecam&files=faceCam_5_trimmed.mp4,uhr:5,,,5 Uhr
6,"Aufgenommen
Wiederholen (Feb 2023)!!!",160.0,211.0,,Uhr,2.0,no,no,no,<sechs uhr>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fuhr&files=6.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fuhr%2F_facecam&files=faceCam_6_trimmed.mp4,uhr:6,,,6 Uhr
7,"Aufgenommen
Wiederholen (Feb 2023)!!!",115.0,164.0,,Uhr,2.0,no,no,no,<sieben uhr>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fuhr&files=7.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fuhr%2F_facecam&files=faceCam_7_trimmed.mp4,uhr:7,,,7 Uhr
8,"Aufgenommen
Wiederholen (Feb 2023)!!!",142.0,191.0,,Uhr,2.0,no,no,no,<acht uhr>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fuhr&files=8.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fuhr%2F_facecam&files=faceCam_8_trimmed.mp4,uhr:8,,,8 Uhr
9,"Aufgenommen
Wiederholen (Feb 2023)!!!",128.0,179.0,,Uhr,2.0,no,no,no,<neun uhr>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fuhr&files=9.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fuhr%2F_facecam&files=faceCam_9_trimmed.mp4,uhr:9,,,9 Uhr
10,"Aufgenommen
Wiederholen (Feb 2023)!!!",183.0,226.0,,Uhr,2.0,no,no,no,<zehn uhr>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fuhr&files=10.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fuhr%2F_facecam&files=faceCam_10_trimmed.mp4,uhr:10,,,10 Uhr
