filename,correction / note,framestart,framestop,frameoffset,class,handnum,relocatable?,bodytouch?,handtohandtouch?,mouth,WordNetEntries,SpreadTheSignExample,SignDictExample,fps,videolink_body,videolink_face,annotation_name
A,Recorded (2023 Feb),280.0,312.0,,Buchstabe,1.0,yes,no,no,<a>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Ffa&files=A.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Ffa%2F_facecam&files=faceCam_A_trimmed.mp4,fa:A
B,Recorded,171.0,200.0,,Buchstabe,1.0,yes,no,no,<be>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Ffa&files=B.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Ffa%2F_facecam&files=faceCam_B_trimmed.mp4,fa:B
C,Recorded,172.0,204.0,,Buchstabe,1.0,yes,no,no,<ce>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Ffa&files=C.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Ffa%2F_facecam&files=faceCam_C_trimmed.mp4,fa:C
D,Recorded,169.0,204.0,,Buchstabe,1.0,yes,no,no,<de>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Ffa&files=D.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Ffa%2F_facecam&files=faceCam_D_trimmed.mp4,fa:D
E,Recorded,163.0,195.0,,Buchstabe,1.0,yes,no,no,<e>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Ffa&files=E.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Ffa%2F_facecam&files=faceCam_E_trimmed.mp4,fa:E
F,Recorded,187.0,219.0,,Buchstabe,1.0,yes,no,no,<ef>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Ffa&files=F.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Ffa%2F_facecam&files=faceCam_F_trimmed.mp4,fa:F
G,Recorded,176.0,206.0,,Buchstabe,1.0,yes,no,no,<ge>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Ffa&files=G.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Ffa%2F_facecam&files=faceCam_G_trimmed.mp4,fa:G
H,Recorded,187.0,220.0,,Buchstabe,1.0,yes,no,no,<ha>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Ffa&files=H.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Ffa%2F_facecam&files=faceCam_H_trimmed.mp4,fa:H
I,Recorded,164.0,195.0,,Buchstabe,1.0,yes,no,no,<i>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Ffa&files=I.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Ffa%2F_facecam&files=faceCam_I_trimmed.mp4,fa:I
J,Recorded,166.0,191.0,,Buchstabe,1.0,yes,no,no,<jot>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Ffa&files=J.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Ffa%2F_facecam&files=faceCam_J_trimmed.mp4,fa:J
