filename,correction / note,framestart,framestop,frameoffset,class,handnum,relocatable?,bodytouch?,handtohandtouch?,mouth,WordNetEntries,SpreadTheSignExample,SignDictExample,fps,videolink_body,videolink_face,annotation_name,Unnamed: 18,Unnamed: 19,value
1,Recorded (2021.12.09),221.0,230.0,,Ordinalzahl,1.0,no,no,no,<erste>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fnum-ord&files=1.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fnum-ord%2FfaceCam&files=faceCam_1.mp4,num-ord:1,,,Erste
2,Recorded,154.0,180.0,,Ordinalzahl,1.0,no,no,no,<zweite>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fnum-ord&files=2.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fnum-ord%2FfaceCam&files=faceCam_2.mp4,num-ord:2,,,Zweite
3,Recorded,149.0,164.0,,Ordinalzahl,1.0,no,no,no,<dritte>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fnum-ord&files=3.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fnum-ord%2FfaceCam&files=faceCam_3.mp4,num-ord:3,,,Dritte
4,Recorded,147.0,161.0,,Ordinalzahl,1.0,no,no,no,<vierte>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fnum-ord&files=4.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fnum-ord%2FfaceCam&files=faceCam_4.mp4,num-ord:4,,,Vierte
5,Recorded,147.0,170.0,,Ordinalzahl,1.0,no,no,no,<fünfte>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fnum-ord&files=5.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fnum-ord%2FfaceCam&files=faceCam_5.mp4,num-ord:5,,,Fünfte
6,Recorded,144.0,164.0,,Ordinalzahl,2.0,no,no,no,<sechste>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fnum-ord&files=6.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fnum-ord%2FfaceCam&files=faceCam_6.mp4,num-ord:6,,,Sechste
7,Recorded,160.0,185.0,,Ordinalzahl,2.0,no,no,no,<siebte>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fnum-ord&files=7.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fnum-ord%2FfaceCam&files=faceCam_7.mp4,num-ord:7,,,Siebte
8,Recorded,141.0,161.0,,Ordinalzahl,2.0,no,no,no,<achte>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fnum-ord&files=8.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fnum-ord%2FfaceCam&files=faceCam_8.mp4,num-ord:8,,,Achte
9,Recorded,148.0,170.0,,Ordinalzahl,2.0,no,no,no,<neunte>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fnum-ord&files=9.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fnum-ord%2FfaceCam&files=faceCam_9.mp4,num-ord:9,,,Neunte
10,Recorded,145.0,171.0,,Ordinalzahl,2.0,no,no,no,<zehnte>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fnum-ord&files=10.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fnum-ord%2FfaceCam&files=faceCam_10.mp4,num-ord:10,,,Zehnte
