filename,correction / note,framestart,framestop,frameoffset,class,handnum,relocatable?,bodytouch?,handtohandtouch?,mouth,WordNetEntries,SpreadTheSignExample,SignDictExample,fps,videolink_body,videolink_face,annotation_name,Unnamed: 18,Unnamed: 19,value
1,"Recorded
Daumen",221.0,271.0,,Stunde,1.0,no,no,no,<ein stunde>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fstunde&files=1.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fstunde%2F_facecam&files=faceCam_1_trimmed.mp4,stunde:1,,,1 Stunde
2,"Recorded
Daumen",147.0,202.0,,Stunde,1.0,no,no,no,<zwei stunden>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fstunde&files=2.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fstunde%2F_facecam&files=faceCam_2_trimmed.mp4,stunde:2,,,2 Stunden
3,Recorded,143.0,199.0,,Stunde,1.0,no,no,no,<drei stunden>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fstunde&files=3.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fstunde%2F_facecam&files=faceCam_3_trimmed.mp4,stunde:3,,,3 Stunden
4,Recorded,176.0,230.0,,Stunde,1.0,no,no,no,<vier stunden>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fstunde&files=4.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fstunde%2F_facecam&files=faceCam_4_trimmed.mp4,stunde:4,,,4 Stunden
5,Recorded,149.0,203.0,,Stunde,1.0,no,no,no,<fünf stunden>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fstunde&files=5.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fstunde%2F_facecam&files=faceCam_5_trimmed.mp4,stunde:5,,,5 Stunden
6,Recorded,164.0,216.0,,Stunde,2.0,no,no,no,<sechs stunden>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fstunde&files=6.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fstunde%2F_facecam&files=faceCam_6_trimmed.mp4,stunde:6,,,6 Stunden
7,Recorded,169.0,223.0,,Stunde,2.0,no,no,no,<sieben stunden>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fstunde&files=7.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fstunde%2F_facecam&files=faceCam_7_trimmed.mp4,stunde:7,,,7 Stunden
8,Recorded,165.0,222.0,,Stunde,2.0,no,no,no,<acht stunden>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fstunde&files=8.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fstunde%2F_facecam&files=faceCam_8_trimmed.mp4,stunde:8,,,8 Stunden
9,Recorded,161.0,216.0,,Stunde,2.0,no,no,no,<neun stunden>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fstunde&files=9.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fstunde%2F_facecam&files=faceCam_9_trimmed.mp4,stunde:9,,,9 Stunden
10,Recorded,149.0,202.0,,Stunde,2.0,no,no,no,<zehn stunden>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fstunde&files=10.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fstunde%2F_facecam&files=faceCam_10_trimmed.mp4,stunde:10,,,10 Stunden
